,y.level,term,estimate,std.error,statistic,p.value
1,Balancing,(Intercept),-7.353371359,6.02248835,-1.220985568,0.222091484
2,Balancing,RHA,-0.077740057,0.04365089,-1.780950082,0.074920606
3,Balancing,LHA,0.12379757,0.061246777,2.021291196,0.04324963
4,Balancing,REA,-0.049770707,0.027605934,-1.802898861,0.0714041
5,Balancing,LEA,0.050496852,0.03543739,1.424959676,0.154168858
6,Balancing,RKA,-0.026775309,0.017279277,-1.549561886,0.121246707
7,Balancing,LKA,-0.019801826,0.014585867,-1.35760363,0.174589491
8,Balancing,RSA,0.013975579,0.031370113,0.445506159,0.65595401
9,Balancing,LSA,0.119270472,0.049468001,2.411063104,0.015906096
10,Inverted,(Intercept),-52.07581979,0.018880774,-2758.14004,0
11,Inverted,RHA,0.802024141,3.62251148,0.221400027,0.824780971
12,Inverted,LHA,-1.820447557,3.108034121,-0.585723157,0.55806157
13,Inverted,REA,-2.418708926,2.661924516,-0.908631673,0.363544582
14,Inverted,LEA,-2.550124689,1.005984219,-2.534954964,0.011246178
15,Inverted,RKA,0.458585535,2.917117875,0.157205007,0.875083282
16,Inverted,LKA,-6.251538584,2.625681927,-2.380919989,0.017269462
17,Inverted,RSA,12.83002245,4.016809846,3.194082604,0.00140276
18,Inverted,LSA,-0.272565561,8.210359612,-0.033197762,0.973516883
19,Reclining,(Intercept),-182.8291691,0.011680537,-15652.46299,0
20,Reclining,RHA,2.913849536,0.840243764,3.467862139,0.000524616
21,Reclining,LHA,0.442196456,0.75089765,0.588890451,0.555934764
22,Reclining,REA,0.098790503,0.403182627,0.245026687,0.806435768
23,Reclining,LEA,0.463574648,0.346210279,1.338997354,0.180571534
24,Reclining,RKA,-1.900559243,0.641296528,-2.963620039,0.003040435
25,Reclining,LKA,-6.68369895,1.951378059,-3.425117403,0.000614534
26,Reclining,RSA,2.22059342,0.595976473,3.725974969,0.000194562
27,Reclining,LSA,-1.423695811,0.55597694,-2.560710179,0.010445846
28,Sitting,(Intercept),54.81999148,0.169860732,322.7349306,0
29,Sitting,RHA,-0.088079648,0.062835188,-1.40175675,0.160987898
30,Sitting,LHA,-0.216165092,0.07106605,-3.041749063,0.002352079
31,Sitting,REA,-0.023816729,0.022563752,-1.055530544,0.291182748
32,Sitting,LEA,0.015954201,0.018034646,0.884641734,0.37634989
33,Sitting,RKA,-0.287605091,0.03057136,-9.407664242,5.07E-21
34,Sitting,LKA,-0.130013831,0.016700172,-7.78517912,6.96E-15
35,Sitting,RSA,0.287929255,0.103152726,2.791290811,0.005249828
36,Sitting,LSA,-0.315370857,0.103624426,-3.043402699,0.002339191
46,Wheel,(Intercept),-169.7256578,0.023224912,-7307.91377,0
47,Wheel,RHA,0.125218437,2.927770136,0.042769217,0.965885503
48,Wheel,LHA,0.560552297,6.120521336,0.091585711,0.927027205
49,Wheel,REA,0.023981336,3.231483383,0.007421154,0.99407883
50,Wheel,LEA,0.250200619,3.769072237,0.066382548,0.947073264
51,Wheel,RKA,-0.151514568,2.328628903,-0.065066,0.948121451
52,Wheel,LKA,0.229740904,2.472506466,0.092918222,0.92596853
53,Wheel,RSA,0.32902629,2.753959001,0.119473925,0.904899897
54,Wheel,LSA,0.068231069,2.974648576,0.022937523,0.98170011
